PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
404,211,0.09523511678,-0.5590646267,1
404,227,0.3475793898,-0.8314471841,1
404,243,0.4061877429,-0.5829939842,1
404,259,0.4719132185,-0.4449680448,1
404,275,0.4881759286,-0.5472429991,1
404,291,NaN,NaN,2
404,307,NaN,NaN,2
404,323,NaN,NaN,2
404,339,-0.3548195958,0.3752860427,1
404,355,-1.161738157,-0.1004386246,1
404,371,-0.7776504755,0.08937355876,1
404,387,-0.3865255713,0.1458408833,1
404,403,-0.1340595484,-0.1332157999,1
420,19,0.9721621275,2.503964901,1
420,35,0.8851364851,2.419834137,1
420,51,0.6875068545,2.470177412,1
420,67,0.4063532352,2.447257042,1
420,83,0.2935959101,2.467113495,1
420,99,0.343472302,2.400126457,1
420,115,0.5603259206,2.272822142,1
420,131,0.6412535906,2.288367033,1
420,147,0.2243379354,2.654148817,1
420,163,-0.09433579445,2.608614922,1
420,179,0.463793993,2.355142593,1
420,195,-0.1779193878,0.9346876144,1
420,211,NaN,NaN,2
420,227,0.5557961464,-0.8408774137,1
420,243,0.4073774219,-0.3865027726,1
420,259,0.2525036335,-0.1156618744,1
420,275,NaN,NaN,2
420,291,NaN,NaN,2
420,307,-0.4700447917,0.6200182438,1
420,323,NaN,NaN,2
420,339,-0.6206983328,0.3473880589,1
420,355,NaN,NaN,2
420,371,-0.7190318108,0.04439719021,1
420,387,-0.6304363608,0.08909326792,1
420,403,-0.8601311445,-0.5899277925,1
436,19,1.322571516,2.557908773,1
436,35,1.508366227,2.464189529,1
436,51,1.253652811,2.414616823,1
436,67,0.8445090652,2.369461298,1
436,83,0.8254203796,2.360621452,1
436,99,0.7239252925,2.464897394,1
436,115,0.7172655463,2.195072651,1
436,131,0.6353925467,2.051188707,1
436,147,0.1149656177,2.463029146,1
436,163,0.1059615016,2.67898798,1
436,179,0.8936858177,2.74344635,1
436,195,0.300640583,1.211702347,1
