PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
367,673,NaN,NaN,2
367,705,22.48369598,44.75409317,1
367,737,25.29489899,47.44223404,1
367,769,NaN,NaN,2
367,801,NaN,NaN,2
367,833,38.11515808,43.06592178,1
367,865,NaN,NaN,2
367,897,38.35347366,44.08842468,1
367,929,NaN,NaN,2
367,961,43.27676773,44.15649414,1
367,993,NaN,NaN,2
367,1025,NaN,NaN,2
367,1057,43.6587944,39.95022964,1
367,1089,NaN,NaN,2
367,1121,NaN,NaN,2
367,1153,NaN,NaN,2
367,1185,NaN,NaN,2
367,1217,66.85345459,20.50206566,1
367,1249,NaN,NaN,2
367,1281,NaN,NaN,2
367,1313,NaN,NaN,2
367,1345,58.20820236,9.660294533,1
367,1377,NaN,NaN,2
367,1409,NaN,NaN,2
367,1441,NaN,NaN,2
367,1473,26.17942429,2.087739944,1
367,1505,NaN,NaN,2
367,1537,NaN,NaN,2
367,1569,NaN,NaN,2
367,1601,NaN,NaN,2
367,1633,NaN,NaN,2
367,1665,NaN,NaN,2
367,1697,NaN,NaN,2
367,1729,NaN,NaN,2
367,1761,NaN,NaN,2
367,1793,NaN,NaN,2
367,1825,NaN,NaN,2
367,1857,NaN,NaN,2
367,1889,NaN,NaN,2
367,1921,NaN,NaN,2
367,1953,NaN,NaN,2
367,1985,0.002247735858,0.1951502115,1
367,2017,NaN,NaN,2
399,33,-0.663484931,-2.589377403,1
399,65,NaN,NaN,2
399,97,NaN,NaN,2
399,129,NaN,NaN,2
399,161,-0.5891878009,38.41822815,1
399,193,NaN,NaN,2
399,225,NaN,NaN,2
399,257,NaN,NaN,2
399,289,0.7643215656,41.51232529,1
399,321,2.034352779,42.33384705,1
399,353,NaN,NaN,2
399,385,NaN,NaN,2
399,417,2.559386253,44.78471756,1
399,449,NaN,NaN,2
399,481,NaN,NaN,2
399,513,NaN,NaN,2
399,545,10.41606998,43.54096222,1
399,577,11.99640942,44.97951889,1
399,609,13.80601692,44.58390427,1
399,641,15.67808914,45.41551971,1
399,673,17.41400337,43.99187469,1
399,705,20.47227097,47.42988205,1
399,737,23.20259094,48.83176804,1
399,769,NaN,NaN,2
399,801,NaN,NaN,2
399,833,NaN,NaN,2
399,865,NaN,NaN,2
399,897,NaN,NaN,2
399,929,NaN,NaN,2
399,961,NaN,NaN,2
399,993,NaN,NaN,2
399,1025,NaN,NaN,2
399,1057,NaN,NaN,2
399,1089,NaN,NaN,2
399,1121,NaN,NaN,2
399,1153,NaN,NaN,2
399,1185,NaN,NaN,2
399,1217,NaN,NaN,2
399,1249,NaN,NaN,2
399,1281,NaN,NaN,2
399,1313,NaN,NaN,2
399,1345,60.93984985,17.03251648,1
399,1377,NaN,NaN,2
399,1409,NaN,NaN,2
399,1441,NaN,NaN,2
399,1473,NaN,NaN,2
399,1505,NaN,NaN,2
399,1537,NaN,NaN,2
399,1569,NaN,NaN,2
399,1601,24.66891479,3.18214798,1
399,1633,NaN,NaN,2
399,1665,NaN,NaN,2
399,1697,NaN,NaN,2
399,1729,NaN,NaN,2
399,1761,1.510002136,3.994338512,1
399,1793,NaN,NaN,2
399,1825,NaN,NaN,2
399,1857,4.513715744,-6.6727705,1
399,1889,NaN,NaN,2
399,1921,-0.2788493633,0.3702809811,1
399,1953,NaN,NaN,2
399,1985,1.103646398,0.2004090846,1
399,2017,NaN,NaN,2
431,33,-0.9346513152,1.802425861,1
431,65,NaN,NaN,2
431,97,NaN,NaN,2
431,129,NaN,NaN,2
431,161,NaN,NaN,2
431,193,NaN,NaN,2
431,225,NaN,NaN,2
431,257,2.059718609,25.33970833,1
431,289,NaN,NaN,2
431,321,-0.3964817524,42.92522049,1
431,353,NaN,NaN,2
431,385,NaN,NaN,2
431,417,2.761712551,49.82663727,1
431,449,NaN,NaN,2
431,481,4.730215073,42.80745697,1
431,513,7.747813225,43.10705948,1
431,545,9.62020874,43.60890579,1
431,577,11.19293499,45.53596497,1
431,609,13.11362362,44.37691116,1
431,641,15.09911537,44.41682053,1
431,673,17.30403709,44.10695267,1
431,705,NaN,NaN,2
431,737,NaN,NaN,2
431,769,NaN,NaN,2
431,801,NaN,NaN,2
431,833,NaN,NaN,2
431,865,NaN,NaN,2
