 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
29,14.797,7.985,4.776,65.624,397.915,80.392,119.980,40.367,33.292,32.267,43.443,312,76,35.910,35.213
30,15.961,10.414,4.470,75.247,283.419,84.705,118.260,39.032,32.318,20.008,43.847,214,71,14.421,32.759
31,12.732,6.311,4.572,56.930,487.760,93.746,116.705,36.396,27.552,88.975,42.897,404,57,98.130,30.862
32,11.627,4.803,3.604,44.500,194.436,88.631,110.024,39.578,24.342,2.608,41.890,141,72,169.992,27.625
33,19.598,16.024,5.206,128.290,317.732,86.036,97.855,34.597,24.705,168.338,34.489,249,63,140.711,26.035
34,15.270,7.695,4.600,59.245,430.428,95.710,104.754,38.503,23.610,154.859,41.502,339,76,164.745,25.234
35,17.834,12.303,4.875,63.386,457.611,93.012,75.664,27.091,19.926,137.532,27.668,366,73,164.745,19.733
36,10.258,5.601,4.615,43.455,137.995,100.248,120.877,44.912,28.672,17.840,47.999,96,90,16.144,30.541
37,7.644,5.598,4.319,17.684,108.676,99.710,67.505,27.778,11.606,57.047,28.299,84,91,59.036,13.023
38,17.934,6.495,5.020,73.700,251.331,100.871,117.494,43.877,25.887,172.314,46.170,187,83,176.987,27.010
39,20.628,10.990,6.066,99.436,343.491,105.468,101.926,31.553,31.246,179.339,34.531,276,74,108.435,31.124
40,11.728,6.712,4.272,38.035,530.502,111.478,96.951,39.838,14.256,119.284,40.786,432,75,120.379,14.954
41,18.221,8.210,4.887,78.842,376.582,119.613,169.198,50.015,46.845,140.994,58.289,284,105,2.386,47.555
42,14.197,6.653,4.543,55.969,162.588,117.787,111.357,37.397,27.065,90.290,42.483,136,78,91.637,29.721
43,17.855,7.281,3.978,66.613,310.989,105.685,82.234,29.955,19.648,160.170,31.194,244,82,166.504,21.102
44,19.463,8.364,5.614,61.932,410.749,111.266,101.372,35.783,25.824,139.945,37.905,325,83,140.194,26.847
45,14.597,6.551,5.119,54.007,185.824,108.731,91.014,30.314,23.620,164.956,32.375,141,81,167.005,24.033
46,12.646,8.147,4.909,55.145,513.912,119.170,114.847,45.103,23.979,113.200,45.737,415,81,111.801,24.023
47,14.899,8.281,4.757,83.214,211.468,116.379,109.549,40.602,25.113,46.498,41.749,158,103,35.538,25.843
48,19.087,9.411,4.855,80.098,288.927,118.837,123.500,44.017,28.913,140.129,45.430,227,84,124.114,30.247
49,21.844,14.404,4.981,135.380,468.758,116.305,75.557,25.753,19.942,102.828,28.299,380,87,120.964,19.413
50,16.855,10.386,4.091,96.184,444.729,119.402,109.986,35.357,26.082,178.098,38.540,350,103,28.179,28.216
51,17.299,9.824,5.530,93.464,489.541,123.972,90.701,31.389,22.751,114.904,34.744,395,89,114.775,25.234
52,16.929,9.390,4.741,62.791,240.692,124.906,116.528,41.616,28.555,6.328,45.673,180,108,16.991,28.524
53,12.936,7.060,5.206,43.178,103.210,129.725,103.995,35.426,28.201,58.007,37.691,77,119,56.821,29.721
54,16.825,7.782,4.406,73.545,324.036,132.019,118.392,37.326,35.101,29.906,41.502,251,115,15.255,35.914
55,12.997,7.307,4.259,66.685,132.700,131.299,111.294,35.317,31.896,28.073,39.799,94,117,37.569,32.405
56,14.935,7.160,4.445,70.637,272.232,138.911,112.229,38.677,28.302,167.411,42.535,208,115,176.730,30.286
57,17.156,11.797,4.839,74.685,183.553,136.979,88.755,29.428,24.713,42.238,30.933,139,115,11.310,23.955
58,16.506,6.764,4.232,80.478,412.480,143.075,114.002,36.850,29.196,112.378,42.065,333,104,123.232,30.538
59,12.661,4.468,4.129,62.003,541.238,142.557,93.650,36.355,18.973,107.369,37.456,439,105,114.905,21.972
60,18.758,14.752,5.041,63.533,441.963,145.726,120.184,37.125,32.160,147.914,44.646,351,106,137.203,32.087
61,15.703,8.484,4.444,87.194,476.228,152.078,132.974,47.427,33.751,113.257,51.017,382,106,115.346,35.270
62,8.350,5.634,4.573,24.688,78.572,144.733,71.668,28.590,11.145,57.757,32.307,55,130,55.713,12.901
63,18.950,9.610,4.316,112.731,354.535,150.704,123.713,38.353,35.823,138.898,42.897,274,124,8.130,36.784
64,14.392,7.582,3.555,53.853,509.749,153.362,117.106,44.261,25.408,125.145,45.785,414,109,122.005,27.442
